id,timestamp,price,market_cap,total_volume,ath,atl,open,high,low,close
bitcoin,2024-12-29,95184.61945288602,1885556552231.4314,22429850903.940086,126080.0,67.81,95184.61945288602,95184.61945288602,95184.61945288602,95184.61945288602
bitcoin,2024-12-30,93663.44751964067,1854872605738.8086,24065314499.502274,126080.0,67.81,93663.44751964067,93663.44751964067,93663.44751964067,93663.44751964067
bitcoin,2024-12-31,92627.28213113277,1833188187477.531,57595164139.4709,126080.0,67.81,92627.28213113277,92627.28213113277,92627.28213113277,92627.28213113277
bitcoin,2025-01-01,93507.85874741491,1851839954625.13,45327464907.74362,126080.0,67.81,93507.85874741491,93507.85874741491,93507.85874741491,93507.85874741491
bitcoin,2025-01-02,94384.1761153871,1869193319140.2422,23275007789.496334,126080.0,67.81,94384.1761153871,94384.1761153871,94384.1761153871,94384.1761153871
bitcoin,2025-01-03,96852.14681235075,1917905016063.62,45157338602.617516,126080.0,67.81,96852.14681235075,96852.14681235075,96852.14681235075,96852.14681235075
bitcoin,2025-01-04,98084.34279280754,1942834829349.9563,35721645948.10051,126080.0,67.81,98084.34279280754,98084.34279280754,98084.34279280754,98084.34279280754
bitcoin,2025-01-05,98256.73876849933,1946611205641.351,20979035420.980793,126080.0,67.81,98256.73876849933,98256.73876849933,98256.73876849933,98256.73876849933
bitcoin,2025-01-06,98364.58946599838,1948339898718.8586,20060293834.7155,126080.0,67.81,98364.58946599838,98364.58946599838,98364.58946599838,98364.58946599838
bitcoin,2025-01-07,102229.39453189743,2024825178619.8228,46111387334.46171,126080.0,67.81,102229.39453189743,102229.39453189743,102229.39453189743,102229.39453189743
bitcoin,2025-01-08,96952.09886774956,1919133187081.3127,60610257147.15405,126080.0,67.81,96952.09886774956,96952.09886774956,96952.09886774956,96952.09886774956
bitcoin,2025-01-09,95016.71440989176,1885313354913.7239,65790469838.34392,126080.0,67.81,95016.71440989176,95016.71440989176,95016.71440989176,95016.71440989176
bitcoin,2025-01-10,92376.27578346101,1832933628117.9436,65850881574.76184,126080.0,67.81,92376.27578346101,92376.27578346101,92376.27578346101,92376.27578346101
bitcoin,2025-01-11,94736.6267420969,1876836759923.398,63433655716.757095,126080.0,67.81,94736.6267420969,94736.6267420969,94736.6267420969,94736.6267420969
bitcoin,2025-01-12,94559.55167224213,1874286243377.8525,17836423168.41627,126080.0,67.81,94559.55167224213,94559.55167224213,94559.55167224213,94559.55167224213
